group_id;material_id;item_qty;item_dim_1;item_dim_2;item_dim_3;item_class
1569;49923;0.0621;90;690;;(SOB)
1570;49923;0.101;100;1010;;(SOB)
1571;49923;0.112;100;1120;;(SOB)
1572;49923;0.127;100;1270;;(SOB)
1573;49923;0.143;100;1430;;(SOB)
1574;49923;0.1596;100;1596;;(SOB)
1575;49923;0.2298;120;1915;;(SOB)
1576;49923;0.301;140;2150;;(SOB)
1577;49923;0.322;140;2300;;(SOB)
1578;49923;0.173;140;1235;;(SOB)
1579;49923;0.179;140;1275;;(SOB)
1580;49923;0.459;160;2870;;(SOB)
1621;33353;1;;;;
1583;32785;0.25;50;200;;(SOB)
1682;13890;1;;;;
2324;12361;0.194;;;;
1681;13890;1;;;;
1585;32785;0.0225;300;75;;(SOB)
2328;12377;0.417;;;;
28900;12455;0.03;110;185;;
1560;12462;0.02508;220;114;;
6770;12457;0.226;1509;150;;
2398;14068;1;;;;(SOB)
1591;32785;0.126;120;1050;;(SOB)
2332;12389;0.595;;;;
1593;32785;0.1848;140;1320;;(SOB)
1594;32785;0.207;140;1480;;(SOB)
1595;32785;0.223;140;1640;;(SOB)
1596;32785;0.27;140;1960;;(SOB)
1680;13876;1;;;;
1679;13876;1;;;;
1678;13873;1;;;;
65437;12458;0.038;293;133;;
